name,badge_1,mrp,discounted_price,discount,rating,rating_count,link
Orange T-Shirt and Pant Sets for Boy's,,"₹1,039",₹476,(54% off),,,https://www.hopscotch.in/product/797858/hopscotch-orange-t-shirt-and-pant-sets-for-boy's?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Mint T-Shirt and Pant Sets for Boy's,,"₹1,039",₹515,(50% off),,,https://www.hopscotch.in/product/797860/yaohui-mint-t-shirt-and-pant-sets-for-boy's?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Red T-Shirt and Dungaree Sets for Boy's,2 left,"₹1,186",₹488,(59% off),,,https://www.hopscotch.in/product/790384/fashion-red-t-shirt-and-dungaree-sets-for-boy's?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Navy T-Shirt and Pant Sets for Boy's,,"₹1,009",₹425,(58% off),,,https://www.hopscotch.in/product/797865/yaohui-navy-t-shirt-and-pant-sets-for-boy's?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Black Shirt and Short Set for Boy's,,"₹1,090",₹769,(29% off),,,https://www.hopscotch.in/product/804067/hopscotch-black-shirt-and-short-set-for-boy's?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Blue Shirt and Shorts Sets for Boy's,,₹989,₹739,(25% off),,,https://www.hopscotch.in/product/790405/hopscotch-blue-shirt-and-shorts-sets-for-boy's?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Set Of 3 Baby Washcloth Orange Space,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/589387/wonder-wee-set-of-3-baby-washcloth-orange-space?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
100% Premium Cotton Terry Baby Washcloth Or Napkin 5 Pc Set - Lemon Yellow,3 left,,₹445,,,,https://www.hopscotch.in/product/465244/my-milestones-100%25-premium-cotton-terry-baby-washcloth-or-napkin-5-pc-set---lemon-yellow?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Applique Light Blue Vest and Short for Boy's,,₹819,₹499,(39% off),,,https://www.hopscotch.in/product/775661/hopscotch-applique-light-blue-vest-and-short-for-boy's?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Set Of 3 Baby Washcloth Set Blue Sea Animals,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/589389/wonder-wee-set-of-3-baby-washcloth-set-blue-sea-animals?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Cotton Washcloths Towel Brup Cloth For New Borns Face Towels Assorted,1 left,,₹220,,,,https://www.hopscotch.in/product/941794/love-baby-prime-cotton-washcloths-towel-brup-cloth-for-new-borns-face-towels-assorted?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
100% Premium Cotton Terry Baby Washcloth Or Napkin 5 Pc Set - Pink,2 left,,₹445,,,,https://www.hopscotch.in/product/465243/my-milestones-100%25-premium-cotton-terry-baby-washcloth-or-napkin-5-pc-set---pink?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Set Of 3 Baby Washcloth Pink Food-Orange Space,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/589386/wonder-wee-set-of-3-baby-washcloth-pink-food-orange-space?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Green Terry Towel with Monkey hood,1 left,,₹595,,,,https://www.hopscotch.in/product/891484/ben-benny-green-terry-towel-with-monkey-hood?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Cotton Washcloths Towel Brup Cloth For New Borns Face Towels Assorted,,,₹249,,,,https://www.hopscotch.in/product/941789/love-baby-prime-cotton-washcloths-towel-brup-cloth-for-new-borns-face-towels-assorted?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Set Of 3 Baby Washcloth Turquoise Travel - Blue Sea Animals,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/589388/wonder-wee-set-of-3-baby-washcloth-turquoise-travel---blue-sea-animals?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Boy White Jacquard Bundi 3 Piece Kurta Set,,"₹3,450","₹2,522",(27% off),,,https://www.hopscotch.in/product/822192/tiber-taber-boy-white-jacquard-bundi-3-piece-kurta-set?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Set Of 3 Baby Washcloth Pink Food-Blue Square Lines-Orange Space,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/589383/wonder-wee-set-of-3-baby-washcloth-pink-food-blue-square-lines-orange-space?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Dino Boy Printed Baby Boy Booties - Tootsies,,"₹2,999","₹1,199",(60% off),,,https://www.hopscotch.in/product/884047/kazarmax-dino-boy-printed-baby-boy-booties---tootsies?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Set Of 3 Baby Washcloth Yellow Animals-Red Dino-Pink Toys,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/616354/wonder-wee-set-of-3-baby-washcloth-yellow-animals-red-dino-pink-toys?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Baby Washcloth Set Turquoise Travel-Orange Square Lines-Blue Sea Animals,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/589385/wonder-wee-baby-washcloth-set-turquoise-travel-orange-square-lines-blue-sea-animals?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Applique White Vest and Short for Boy's,,₹819,₹673,(18% off),,,https://www.hopscotch.in/product/775660/hopscotch-applique-white-vest-and-short-for-boy's?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Set Of 3 Baby Washcloth Pink Food-Green Square Lines-Orange Space,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/589382/wonder-wee-set-of-3-baby-washcloth-pink-food-green-square-lines-orange-space?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Set Of 3 Baby Washcloth Turquoise Travel-Green Square Lines-Blue Sea Animals,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/589384/wonder-wee-set-of-3-baby-washcloth-turquoise-travel-green-square-lines-blue-sea-animals?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Set Of 3 Baby Washcloth Pink Toys-Blue Square Lines-Red Dino,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/616352/wonder-wee-set-of-3-baby-washcloth-pink-toys-blue-square-lines-red-dino?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Set Of 3 Baby Washcloth Red Dino-Orange Square Lines-Yellow Animals,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/616351/wonder-wee-set-of-3-baby-washcloth-red-dino-orange-square-lines-yellow-animals?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Set Of 3 Baby Washcloth Yellow Animals-Green Square Lines-Pink Toys,,₹799,₹649,(19% off),,,https://www.hopscotch.in/product/616353/wonder-wee-set-of-3-baby-washcloth-yellow-animals-green-square-lines-pink-toys?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Red T-Shirt and Pant Set for Boy's,1 left,"₹1,090",₹436,(60% off),,,https://www.hopscotch.in/product/790443/fashion-red-t-shirt-and-pant-set-for-boy's?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Baby Boy White Dhoti Set Krishna Lotus Feet,,,"₹2,150",,,,https://www.hopscotch.in/product/859783/tiber-taber-baby-boy-white-dhoti-set-krishna-lotus-feet?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Multi Love Moccasin Baby Boy Booties - Tootsies,,₹999,₹449,(55% off),,,https://www.hopscotch.in/product/913987/kazarmax-multi-love-moccasin-baby-boy-booties---tootsies?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Funky Printed Time To Turtle - Boy Underwear,,,₹500,,,,https://www.hopscotch.in/product/712109/plan-b-funky-printed-time-to-turtle---boy-underwear?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Multi Nautical Baby Boy Booties - Tootsies,,₹999,₹449,(55% off),,,https://www.hopscotch.in/product/913985/kazarmax-multi-nautical-baby-boy-booties---tootsies?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Tiber Taber Baby Boy Yellow Dhoti Set Krishna Lotus Feet,,"₹2,150","₹1,790",(17% off),,,https://www.hopscotch.in/product/859784/tiber-taber-tiber-taber-baby-boy-yellow-dhoti-set-krishna-lotus-feet?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Multi Dino Moccasin Baby Boy Booties - Tootsies,,₹999,₹448,(55% off),,,https://www.hopscotch.in/product/913975/kazarmax-multi-dino-moccasin-baby-boy-booties---tootsies?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Multi Love Baby Boy Booties - Tootsies,,₹999,₹448,(55% off),,,https://www.hopscotch.in/product/913988/kazarmax-multi-love-baby-boy-booties---tootsies?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Multi Nautical Moccasin Baby Boy Booties - Tootsies,,₹999,₹449,(55% off),,,https://www.hopscotch.in/product/913984/kazarmax-multi-nautical-moccasin-baby-boy-booties---tootsies?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Multi Lil Bro Sandal Baby Boy Booties - Tootsies,,₹999,₹449,(55% off),,,https://www.hopscotch.in/product/913994/kazarmax-multi-lil-bro-sandal-baby-boy-booties---tootsies?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
VPK -  Funky Printed Creepy Crawly - Boy Underwear,,,₹500,,,,https://www.hopscotch.in/product/712098/plan-b-vpk---funky-printed-creepy-crawly---boy-underwear?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Green T-Shirt and Shorts Sets for Boy's,1 left,₹839,₹714,(15% off),,,https://www.hopscotch.in/product/790382/fashion-green-t-shirt-and-shorts-sets-for-boy's?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Multi Dino Baby Boy Booties - Tootsies,,₹999,₹449,(55% off),,,https://www.hopscotch.in/product/913976/kazarmax-multi-dino-baby-boy-booties---tootsies?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Red Trumpet Print Sherwani Style Dhoti Kurta For Baby Boy,1 left,"₹2,499",₹875,(65% off),,,https://www.hopscotch.in/product/840931/bownbee-red-trumpet-print-sherwani-style-dhoti-kurta-for-baby-boy?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Multi Animal Train Bootie Printed  Baby Boy Booties - Tootsies,,₹999,₹449,(55% off),,,https://www.hopscotch.in/product/913970/kazarmax-multi-animal-train-bootie-printed-baby-boy-booties---tootsies?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Clogs For Boy's Yellow,2 left,"₹1,300",₹599,(54% off),,,https://www.hopscotch.in/product/1062279/feetwell-shoes-clogs-for-boy's-yellow?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Clogs For Boy's Blue ,,"₹1,300",₹599,(54% off),,,https://www.hopscotch.in/product/1062280/feetwell-shoes-clogs-for-boy's-blue-?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Doraemon Knitted Baby Boy Tight - Light Grey,,,₹290,,,,https://www.hopscotch.in/product/964115/bonjour-retail-doraemon-knitted-baby-boy-tight---light-grey?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
The Undercovers Foodie - Boy Underwear,,,₹500,,,,https://www.hopscotch.in/product/889105/plan-b-the-undercovers-foodie---boy-underwear?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Doraemon Knitted Baby Boy Tight - Baby Pink,3 left,,₹305,,,,https://www.hopscotch.in/product/964113/bonjour-retail-doraemon-knitted-baby-boy-tight---baby-pink?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
T-shirt & short Set For Boy's Blue,3 left,,₹239,,,,https://www.hopscotch.in/product/1030454/amul-kandyfloss-t-shirt-%26-short-set-for-boy's-blue?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
Amigurumi Soft Toy- Clever Boy Doll,3 left,,₹609,,,,https://www.hopscotch.in/product/1080408/happy-threads-amigurumi-soft-toy--clever-boy-doll?funnel=Search&funnel_tile=baby boy clothes&funnel_section=Keyword&section=Keyword&plp=baby boy clothes&from_screen=search
